User ID;Age;Age Segmentation;Country;Streaming Platform;Top Genre;Minutes Streamed Per Day;Number of Songs Liked;Most Played Artist;Subscription Type;Listening Time (Morning/Afternoon/Night);Discover Weekly Engagement (%);Repeat Song Rate (%)
U1021;29;25-36;USA;Deezer;Metal;450;12;Ed Sheeran;Premium;Morning;60,39;14,44
U1022;40;37-48;Brazil;Tidal;Jazz;445;221;Dua Lipa;Premium;Morning;80,53;78,27
U1023;42;37-48;Brazil;Amazon Music;Rock;547;248;Post Malone;Free;Night;26,03;8,42
U1024;35;25-36;South Korea;Deezer;Pop;218;461;Post Malone;Free;Night;42,17;77,18
U1025;53;49-60;Brazil;Apple Music;Reggae;87;347;Ed Sheeran;Premium;Afternoon;60,40;10,49
U1026;23;13-24;Japan;Tidal;Hip-Hop;537;494;Taylor Swift;Free;Morning;88,09;62,45
U1027;27;25-36;France;Amazon Music;Jazz;203;437;Taylor Swift;Free;Morning;22,83;21,55
U1028;40;37-48;Germany;Spotify;Pop;267;475;Drake;Premium;Afternoon;69,00;10,66
U1029;42;37-48;Canada;Amazon Music;Reggae;151;195;Taylor Swift;Premium;Morning;63,01;47,74
U1030;51;49-60;Canada;Amazon Music;EDM;60;195;Drake;Premium;Afternoon;22,74;30,00
U1031;42;37-48;UK;Amazon Music;R&B;201;52;Adele;Free;Afternoon;48,74;17,29
U1032;47;37-48;USA;Amazon Music;Jazz;564;400;Drake;Free;Night;28,70;69,19
U1033;49;49-60;South Korea;Apple Music;Hip-Hop;140;408;Dua Lipa;Free;Night;16,28;78,98
U1034;58;49-60;Brazil;Deezer;R&B;187;439;Drake;Premium;Morning;78,07;59,58
U1035;25;25-36;France;Apple Music;EDM;332;196;BTS;Free;Night;72,27;15,08
U1036;38;37-48;UK;Deezer;Metal;99;80;The Weeknd;Premium;Night;54,04;20,32
U1037;23;13-24;Japan;Apple Music;Reggae;265;95;Adele;Premium;Morning;85,50;63,65
U1038;26;25-36;Japan;YouTube;EDM;370;4;BTS;Free;Afternoon;77,30;71,50
U1039;53;49-60;USA;Apple Music;Reggae;478;300;Taylor Swift;Free;Afternoon;88,44;75,12
U1040;33;25-36;South Korea;Amazon Music;Reggae;193;454;Dua Lipa;Free;Afternoon;13,37;69,69
U1041;55;49-60;Brazil;Spotify;Country;581;434;Bad Bunny;Premium;Night;44,52;65,62
U1042;23;13-24;Brazil;Spotify;Pop;93;264;Adele;Premium;Night;38,82;12,88
U1043;50;49-60;France;Amazon Music;Hip-Hop;463;463;Drake;Premium;Morning;66,21;59,49
U1044;32;25-36;Brazil;Tidal;R&B;84;117;Ed Sheeran;Premium;Morning;26,08;8,72
U1045;42;37-48;India;YouTube;Hip-Hop;404;464;Ed Sheeran;Premium;Morning;27,40;45,91
U1046;53;49-60;USA;Amazon Music;Pop;149;110;The Weeknd;Free;Afternoon;47,11;50,35
U1047;24;13-24;USA;YouTube;Rock;585;306;Drake;Premium;Afternoon;77,42;10,46
U1048;40;37-48;Brazil;Deezer;EDM;485;342;Drake;Premium;Night;44,37;67,99
U1049;35;25-36;Australia;Apple Music;EDM;249;178;Dua Lipa;Free;Afternoon;34,56;19,68
U1050;56;49-60;France;Tidal;Rock;225;214;The Weeknd;Premium;Morning;22,61;39,19
U1051;54;49-60;Japan;Tidal;Metal;414;393;Taylor Swift;Free;Night;30,62;6,12
U1052;14;13-24;South Korea;Deezer;Country;189;374;The Weeknd;Free;Night;37,27;8,55
U1053;35;25-36;India;Deezer;Hip-Hop;88;315;Adele;Premium;Afternoon;85,45;79,32
U1054;48;37-48;India;YouTube;Pop;43;490;Post Malone;Premium;Night;21,90;77,31
U1055;20;13-24;Canada;Spotify;Reggae;259;475;The Weeknd;Free;Morning;85,11;78,75
U1056;48;37-48;Brazil;YouTube;Classical;202;195;Billie Eilish;Premium;Afternoon;20,36;11,51
U1057;30;25-36;Japan;Tidal;Jazz;429;8;Dua Lipa;Free;Morning;47,98;50,57
U1058;17;13-24;UK;Amazon Music;Country;282;225;Adele;Free;Night;59,83;67,68
U1059;30;25-36;UK;Amazon Music;Classical;67;191;BTS;Free;Night;85,00;53,98
U1060;18;13-24;France;YouTube;Country;587;320;Billie Eilish;Premium;Morning;11,06;32,11
U1061;60;49-60;USA;Apple Music;Rock;262;301;BTS;Free;Morning;35,53;55,35
U1062;35;25-36;Australia;Spotify;Jazz;372;283;Ed Sheeran;Free;Morning;84,71;56,46
U1063;52;49-60;Canada;Apple Music;R&B;229;79;Bad Bunny;Premium;Afternoon;55,78;11,71
U1064;26;25-36;South Korea;Tidal;Hip-Hop;316;451;Billie Eilish;Premium;Morning;32,01;23,09
U1065;59;49-60;UK;Deezer;R&B;334;454;BTS;Premium;Night;61,36;60,91
U1066;53;49-60;USA;YouTube;Rock;580;151;Adele;Premium;Morning;36,39;30,59
U1067;51;49-60;South Korea;Tidal;Jazz;538;363;Dua Lipa;Premium;Morning;20,13;16,15
U1068;48;37-48;UK;YouTube;Jazz;394;434;Bad Bunny;Premium;Morning;63,15;8,39
U1069;57;49-60;Japan;YouTube;Jazz;228;94;The Weeknd;Free;Afternoon;80,01;55,59
U1070;57;49-60;Australia;Tidal;EDM;570;71;BTS;Premium;Afternoon;78,83;59,12
U1071;40;37-48;India;Spotify;Reggae;342;212;Drake;Free;Afternoon;78,62;38,47
U1072;34;25-36;UK;YouTube;Country;530;310;Ed Sheeran;Free;Afternoon;33,21;18,58
U1073;51;49-60;France;Tidal;Jazz;251;236;Post Malone;Premium;Afternoon;70,99;67,63
U1074;27;25-36;South Korea;Spotify;Country;331;476;Post Malone;Premium;Afternoon;51,64;11,71
U1075;27;25-36;Brazil;Amazon Music;R&B;149;122;Drake;Free;Morning;50,76;56,23
U1076;18;13-24;USA;Tidal;Classical;435;165;BTS;Free;Night;24,80;62,10
U1077;33;25-36;Japan;Deezer;EDM;419;440;Taylor Swift;Premium;Afternoon;18,06;74,21
U1078;14;13-24;Australia;YouTube;Pop;364;171;Ed Sheeran;Premium;Night;11,74;46,14
U1079;48;37-48;South Korea;Tidal;Jazz;23;259;Post Malone;Free;Night;67,97;46,68
U1080;47;37-48;UK;Apple Music;Jazz;365;259;Bad Bunny;Free;Morning;15,61;66,64
U1081;22;13-24;Canada;Spotify;Country;13;64;Ed Sheeran;Premium;Morning;27,30;23,04
U1082;60;49-60;Germany;Tidal;Metal;574;419;Bad Bunny;Free;Morning;33,00;41,73
U1083;37;37-48;Japan;Apple Music;Hip-Hop;474;272;Billie Eilish;Premium;Afternoon;16,37;53,46
U1084;19;13-24;South Korea;Tidal;Rock;252;129;Dua Lipa;Premium;Afternoon;18,05;21,08
U1085;40;37-48;Australia;Tidal;R&B;123;222;Post Malone;Premium;Afternoon;89,08;31,46
U1086;57;49-60;Brazil;YouTube;R&B;49;207;The Weeknd;Free;Night;65,27;71,22
U1087;40;37-48;India;Tidal;Country;88;153;Taylor Swift;Premium;Afternoon;53,63;60,28
U1088;53;49-60;Australia;Deezer;Pop;217;67;Drake;Free;Night;88,60;30,39
U1089;43;37-48;South Korea;Spotify;EDM;222;70;BTS;Premium;Night;88,91;64,34
U1090;13;13-24;Australia;Amazon Music;Country;31;354;Bad Bunny;Free;Morning;25,42;72,64
U1091;42;37-48;UK;Amazon Music;Metal;426;339;Adele;Free;Morning;88,40;41,19
U1092;46;37-48;France;Deezer;Rock;265;170;Post Malone;Free;Night;56,93;21,18
U1093;20;13-24;Brazil;Apple Music;Classical;578;150;Bad Bunny;Premium;Afternoon;26,23;61,41
U1094;16;13-24;Germany;Amazon Music;Hip-Hop;451;451;Billie Eilish;Premium;Morning;81,19;38,14
U1095;43;37-48;Canada;Amazon Music;Rock;454;328;Post Malone;Premium;Afternoon;71,16;58,49
U1096;59;49-60;Canada;Spotify;EDM;283;87;Post Malone;Free;Night;61,27;59,11
U1097;27;25-36;South Korea;Apple Music;Pop;136;101;Adele;Free;Morning;64,60;54,91
U1098;23;13-24;Australia;Spotify;Pop;311;419;Taylor Swift;Free;Night;19,66;20,12
U1099;46;37-48;South Korea;Spotify;Hip-Hop;11;102;Billie Eilish;Free;Night;43,81;55,65
U1100;17;13-24;Brazil;YouTube;Reggae;379;486;Taylor Swift;Free;Night;57,31;34,10
U1101;56;49-60;France;Apple Music;Metal;327;282;Dua Lipa;Premium;Night;12,89;65,06
U1102;36;25-36;Australia;YouTube;R&B;131;210;Billie Eilish;Premium;Night;65,95;63,34
U1103;59;49-60;USA;Tidal;Pop;476;198;Ed Sheeran;Free;Night;58,36;13,84
U1104;20;13-24;India;Deezer;Rock;144;274;Billie Eilish;Premium;Morning;45,38;55,09
U1105;24;13-24;Brazil;Deezer;EDM;74;427;Taylor Swift;Free;Afternoon;10,42;16,40
U1106;42;37-48;UK;Spotify;Reggae;76;84;Ed Sheeran;Free;Night;30,14;11,02
U1107;47;37-48;Japan;Spotify;Classical;473;427;Billie Eilish;Free;Night;67,25;7,54
U1108;31;25-36;Japan;Amazon Music;Pop;539;87;The Weeknd;Premium;Night;46,95;27,36
U1109;38;37-48;Japan;Apple Music;Pop;318;208;The Weeknd;Premium;Afternoon;83,45;22,57
U1110;55;49-60;India;Deezer;Classical;536;119;The Weeknd;Premium;Afternoon;11,20;55,69
U1111;49;49-60;Canada;Tidal;Pop;199;118;Dua Lipa;Premium;Night;36,99;51,49
U1112;42;37-48;Australia;Deezer;Reggae;531;112;Taylor Swift;Premium;Afternoon;63,28;33,23
U1113;22;13-24;Australia;Deezer;Hip-Hop;234;88;BTS;Premium;Afternoon;63,51;35,52
U1114;33;25-36;Japan;Deezer;Pop;386;378;The Weeknd;Free;Night;86,83;68,75
U1115;21;13-24;Japan;Amazon Music;Rock;419;484;The Weeknd;Premium;Morning;69,39;21,67
U1116;41;37-48;France;YouTube;Pop;70;411;Ed Sheeran;Premium;Morning;78,60;58,73
U1117;53;49-60;India;Apple Music;Rock;547;419;Adele;Premium;Night;36,41;57,24
U1118;39;37-48;India;Apple Music;Classical;274;113;Drake;Premium;Afternoon;38,70;47,85
U1119;53;49-60;France;YouTube;Hip-Hop;404;205;Dua Lipa;Premium;Afternoon;56,27;68,99
U1120;45;37-48;UK;YouTube;R&B;491;411;The Weeknd;Premium;Afternoon;34,74;56,12
U1121;37;37-48;Canada;Amazon Music;Pop;345;129;Post Malone;Free;Morning;80,52;76,54
U1122;50;49-60;India;Deezer;Country;208;122;Dua Lipa;Free;Morning;71,99;22,97
U1123;56;49-60;UK;Spotify;Country;105;454;Drake;Free;Night;27,21;45,77
U1124;13;13-24;USA;Apple Music;Classical;44;193;Billie Eilish;Free;Morning;43,17;79,98
U1125;14;13-24;France;Spotify;Reggae;44;318;BTS;Premium;Night;80,92;18,57
U1126;22;13-24;Canada;Amazon Music;Hip-Hop;146;345;Taylor Swift;Free;Night;28,40;25,12
U1127;48;37-48;UK;Spotify;Metal;250;291;The Weeknd;Premium;Night;27,97;60,48
U1128;35;25-36;Brazil;Spotify;Jazz;152;282;The Weeknd;Free;Night;30,63;51,29
U1129;53;49-60;Brazil;Amazon Music;Metal;350;133;Drake;Free;Night;74,78;19,01
U1130;29;25-36;Canada;Deezer;Jazz;558;97;Adele;Premium;Morning;87,70;12,85
U1131;14;13-24;Canada;YouTube;Country;57;415;Taylor Swift;Premium;Night;19,91;37,44
U1132;26;25-36;USA;Apple Music;Rock;264;226;Adele;Free;Morning;57,57;53,83
U1133;26;25-36;Canada;Deezer;Reggae;489;166;The Weeknd;Premium;Night;87,39;45,01
U1134;40;37-48;UK;Amazon Music;Metal;415;183;Billie Eilish;Premium;Morning;80,78;63,13
U1135;53;49-60;Australia;Deezer;Jazz;176;344;Post Malone;Free;Afternoon;49,03;74,59
U1136;26;25-36;South Korea;YouTube;EDM;336;247;The Weeknd;Premium;Afternoon;11,70;39,32
U1137;59;49-60;Canada;YouTube;Hip-Hop;345;465;Ed Sheeran;Premium;Morning;23,31;37,29
U1138;27;25-36;UK;Amazon Music;Pop;372;85;Billie Eilish;Free;Morning;25,58;34,70
U1139;27;25-36;France;Deezer;Jazz;567;287;Dua Lipa;Premium;Afternoon;80,37;74,47
U1140;30;25-36;Japan;Tidal;Reggae;149;489;The Weeknd;Free;Morning;13,45;12,53
U1141;19;13-24;USA;Tidal;Reggae;146;130;Ed Sheeran;Premium;Afternoon;44,31;19,83
U1142;39;37-48;Canada;Deezer;Reggae;50;25;Taylor Swift;Premium;Afternoon;37,17;74,53
U1143;34;25-36;Canada;Spotify;Rock;58;321;The Weeknd;Free;Afternoon;51,80;11,60
U1144;54;49-60;Germany;Deezer;Hip-Hop;121;118;Bad Bunny;Premium;Morning;22,60;53,96
U1145;26;25-36;India;Deezer;Classical;429;3;Drake;Free;Morning;57,30;64,51
U1146;17;13-24;Brazil;YouTube;Jazz;535;368;Post Malone;Premium;Morning;74,98;8,53
U1147;18;13-24;South Korea;Amazon Music;Rock;415;17;Post Malone;Free;Afternoon;84,06;16,55
U1148;23;13-24;Canada;Spotify;Reggae;454;347;Adele;Free;Morning;66,14;9,35
U1149;28;25-36;India;Amazon Music;R&B;23;491;Drake;Free;Night;12,85;44,53
U1150;46;37-48;France;YouTube;R&B;379;182;BTS;Premium;Morning;65,65;24,84
U1151;48;37-48;South Korea;Apple Music;Reggae;513;485;Ed Sheeran;Free;Afternoon;61,93;49,88
U1152;46;37-48;USA;Apple Music;Jazz;135;445;BTS;Free;Afternoon;45,81;60,65
U1153;50;49-60;Japan;Tidal;R&B;189;114;Billie Eilish;Premium;Night;88,33;18,74
U1154;56;49-60;Australia;Tidal;Pop;284;97;BTS;Premium;Afternoon;19,05;27,92
U1155;46;37-48;Japan;Deezer;R&B;240;73;Bad Bunny;Free;Afternoon;81,16;50,25
U1156;48;37-48;USA;Apple Music;EDM;296;264;Bad Bunny;Free;Night;53,12;34,71
U1157;49;49-60;France;YouTube;Country;478;421;BTS;Premium;Morning;76,90;21,62
U1158;57;49-60;UK;Amazon Music;Pop;221;207;Drake;Free;Afternoon;12,45;30,40
U1159;57;49-60;Canada;YouTube;Rock;546;275;Taylor Swift;Free;Afternoon;79,18;10,88
U1160;46;37-48;USA;Apple Music;EDM;366;120;BTS;Premium;Night;46,75;16,76
U1161;52;49-60;South Korea;Tidal;Jazz;490;276;Taylor Swift;Premium;Afternoon;85,78;32,87
U1162;57;49-60;UK;Amazon Music;Hip-Hop;54;425;Post Malone;Free;Morning;62,08;53,78
U1163;32;25-36;Japan;Tidal;R&B;169;243;Billie Eilish;Premium;Afternoon;35,17;42,46
U1164;40;37-48;Canada;Tidal;Rock;220;274;The Weeknd;Free;Morning;59,41;79,70
U1165;30;25-36;India;Amazon Music;Classical;595;435;Taylor Swift;Free;Night;49,22;12,25
U1166;59;49-60;Australia;Apple Music;R&B;592;29;Adele;Free;Afternoon;59,08;63,86
U1167;33;25-36;Canada;Apple Music;Country;491;394;Bad Bunny;Premium;Night;53,65;37,48
U1168;21;13-24;Japan;Apple Music;Pop;345;37;Taylor Swift;Free;Night;80,94;7,91
U1169;60;49-60;Australia;Spotify;Country;37;226;BTS;Free;Afternoon;76,78;14,40
U1170;47;37-48;Brazil;Deezer;EDM;521;138;Adele;Premium;Afternoon;12,66;60,20
U1171;16;13-24;UK;Amazon Music;Hip-Hop;419;226;Drake;Free;Morning;52,13;28,05
U1172;36;25-36;Canada;YouTube;R&B;547;486;Taylor Swift;Free;Night;43,70;56,16
U1173;50;49-60;India;YouTube;Country;524;91;Billie Eilish;Premium;Afternoon;70,83;26,29
U1174;23;13-24;Brazil;Deezer;Pop;548;168;The Weeknd;Premium;Afternoon;51,18;40,70
U1175;48;37-48;Canada;Spotify;Pop;438;371;Bad Bunny;Free;Afternoon;36,77;26,79
U1176;33;25-36;India;Deezer;Reggae;518;9;BTS;Premium;Afternoon;30,64;20,99
U1177;31;25-36;Japan;Spotify;Country;160;463;Adele;Premium;Morning;72,16;9,46
U1178;53;49-60;India;Deezer;R&B;560;349;Billie Eilish;Free;Afternoon;63,16;20,97
U1179;38;37-48;USA;YouTube;R&B;390;27;Ed Sheeran;Free;Morning;84,24;70,64
U1180;33;25-36;France;YouTube;Country;418;256;Ed Sheeran;Free;Afternoon;28,06;29,54
U1181;38;37-48;South Korea;Apple Music;EDM;463;140;The Weeknd;Free;Night;19,91;7,45
U1182;30;25-36;Brazil;Apple Music;EDM;471;389;Bad Bunny;Free;Afternoon;48,96;73,08
U1183;16;13-24;South Korea;Amazon Music;Jazz;425;392;Drake;Premium;Morning;80,30;72,85
U1184;33;25-36;Germany;Tidal;Hip-Hop;590;496;Adele;Free;Night;63,39;41,82
U1185;17;13-24;India;Deezer;Hip-Hop;449;162;Adele;Premium;Night;22,56;19,70
U1186;49;49-60;Brazil;Deezer;Country;125;160;Dua Lipa;Premium;Afternoon;29,85;33,78
U1187;33;25-36;Germany;Deezer;R&B;407;200;Drake;Premium;Night;57,69;54,55
U1188;44;37-48;UK;Deezer;EDM;520;93;Billie Eilish;Premium;Morning;83,80;31,94
U1189;38;37-48;Australia;Amazon Music;Rock;151;212;Taylor Swift;Premium;Night;49,49;32,51
U1190;32;25-36;Brazil;Deezer;Classical;200;33;Dua Lipa;Free;Afternoon;34,72;70,23
U1191;53;49-60;France;YouTube;Metal;267;417;Bad Bunny;Premium;Night;36,69;13,00
U1192;40;37-48;Canada;Spotify;Rock;350;385;Bad Bunny;Free;Night;46,96;25,57
U1193;58;49-60;Australia;YouTube;Classical;317;354;The Weeknd;Premium;Afternoon;50,17;79,82
U1194;39;37-48;USA;Apple Music;Hip-Hop;549;460;The Weeknd;Free;Afternoon;51,19;43,57
U1195;49;49-60;USA;Amazon Music;Country;352;443;Ed Sheeran;Free;Afternoon;73,11;36,69
U1196;27;25-36;Canada;Apple Music;Reggae;126;353;Taylor Swift;Premium;Morning;36,75;11,59
U1197;32;25-36;India;Spotify;Reggae;119;31;Ed Sheeran;Premium;Afternoon;85,39;55,56
U1198;22;13-24;Germany;Spotify;EDM;62;1;Dua Lipa;Premium;Afternoon;80,08;68,51
U1199;19;13-24;Germany;YouTube;Hip-Hop;463;379;Adele;Free;Morning;77,31;60,39
U1200;35;25-36;Japan;Spotify;Jazz;100;181;Billie Eilish;Premium;Afternoon;40,26;8,26
U1201;13;13-24;Brazil;Spotify;Country;585;462;Billie Eilish;Premium;Afternoon;53,26;72,35
U1202;28;25-36;Australia;Amazon Music;Pop;10;30;Post Malone;Premium;Night;47,26;40,10
U1203;38;37-48;UK;Tidal;R&B;134;434;Billie Eilish;Premium;Morning;46,38;54,51
U1204;21;13-24;Australia;Amazon Music;Country;551;421;Ed Sheeran;Free;Night;49,20;42,10
U1205;25;25-36;UK;Tidal;Reggae;369;477;Drake;Premium;Morning;13,66;10,18
U1206;42;37-48;Australia;Deezer;Pop;372;267;Drake;Free;Night;31,06;59,18
U1207;57;49-60;Brazil;Apple Music;R&B;376;334;Dua Lipa;Premium;Night;84,49;76,49
U1208;40;37-48;India;Tidal;R&B;450;309;BTS;Free;Night;73,78;32,67
U1209;51;49-60;France;Apple Music;Metal;116;150;The Weeknd;Premium;Night;10,86;38,18
U1210;22;13-24;South Korea;Amazon Music;Hip-Hop;372;168;Billie Eilish;Free;Afternoon;24,79;63,70
U1211;58;49-60;USA;Amazon Music;EDM;180;258;Adele;Premium;Night;27,13;45,45
U1212;45;37-48;France;Apple Music;Reggae;580;127;Adele;Premium;Morning;55,04;43,66
U1213;43;37-48;Canada;Tidal;Hip-Hop;435;314;Drake;Free;Night;22,61;32,05
U1214;17;13-24;South Korea;Tidal;Jazz;250;111;Billie Eilish;Premium;Night;80,95;8,15
U1215;36;25-36;Canada;Tidal;Metal;226;347;Bad Bunny;Free;Morning;17,22;34,96
U1216;14;13-24;UK;Amazon Music;Country;51;424;Bad Bunny;Free;Morning;59,28;66,16
U1217;53;49-60;Japan;Spotify;R&B;406;169;Taylor Swift;Free;Afternoon;13,49;33,18
U1218;21;13-24;Canada;Tidal;Metal;317;268;The Weeknd;Premium;Afternoon;66,49;11,87
U1219;33;25-36;South Korea;Tidal;EDM;459;262;Taylor Swift;Premium;Morning;17,41;55,83
U1220;54;49-60;Australia;Deezer;Country;440;448;Ed Sheeran;Premium;Afternoon;55,32;9,42
U1221;18;13-24;UK;Deezer;Hip-Hop;570;246;Taylor Swift;Premium;Afternoon;69,77;54,47
U1222;36;25-36;Germany;Tidal;Rock;373;246;Ed Sheeran;Free;Night;52,67;53,76
U1223;25;25-36;Canada;Spotify;EDM;183;179;Billie Eilish;Premium;Night;28,62;35,20
U1224;15;13-24;USA;YouTube;Hip-Hop;139;239;Dua Lipa;Premium;Afternoon;62,11;77,73
U1225;21;13-24;Germany;Deezer;R&B;530;270;Billie Eilish;Free;Afternoon;32,40;79,59
U1226;39;37-48;South Korea;Amazon Music;EDM;272;277;The Weeknd;Premium;Morning;39,70;48,24
U1227;18;13-24;South Korea;Amazon Music;Metal;345;479;Drake;Premium;Afternoon;21,71;45,96
U1228;36;25-36;Japan;Spotify;Country;440;271;BTS;Free;Afternoon;30,55;67,50
U1229;24;13-24;Germany;Tidal;Reggae;440;294;Bad Bunny;Premium;Night;20,92;32,38
U1230;51;49-60;Japan;YouTube;Reggae;385;414;Taylor Swift;Free;Morning;13,41;55,93
U1231;26;25-36;France;Apple Music;Classical;396;217;Dua Lipa;Premium;Morning;39,81;15,41
U1232;13;13-24;France;Tidal;Jazz;224;381;Taylor Swift;Free;Afternoon;60,46;63,68
U1233;41;37-48;Germany;YouTube;Jazz;223;15;Drake;Premium;Night;58,68;13,88
U1234;21;13-24;Japan;Spotify;Pop;46;165;Adele;Premium;Afternoon;58,75;66,98
U1235;59;49-60;Canada;Tidal;Reggae;39;337;Taylor Swift;Free;Afternoon;79,14;40,26
U1236;55;49-60;Australia;Deezer;EDM;296;272;Post Malone;Premium;Afternoon;32,11;9,22
U1237;52;49-60;India;Spotify;Classical;139;228;BTS;Free;Night;11,98;65,55
U1238;48;37-48;USA;Spotify;Reggae;163;378;Post Malone;Premium;Morning;88,90;73,29
U1239;31;25-36;France;Spotify;Jazz;590;195;Post Malone;Free;Night;61,78;20,37
U1240;49;49-60;Germany;Amazon Music;Metal;526;71;The Weeknd;Premium;Afternoon;40,53;78,09
U1241;41;37-48;Brazil;Amazon Music;Pop;99;92;Adele;Premium;Morning;74,00;17,92
U1242;38;37-48;UK;Spotify;Hip-Hop;279;454;Post Malone;Premium;Afternoon;10,35;36,10
U1243;42;37-48;Germany;YouTube;Country;335;29;Bad Bunny;Free;Night;63,28;62,01
U1244;40;37-48;Australia;Spotify;R&B;118;212;The Weeknd;Premium;Morning;53,78;76,46
U1245;29;25-36;Brazil;YouTube;Metal;519;396;Drake;Free;Night;43,41;16,76
U1246;42;37-48;Brazil;YouTube;Rock;555;251;The Weeknd;Premium;Afternoon;38,83;14,55
U1247;18;13-24;USA;YouTube;Reggae;361;45;Adele;Free;Morning;52,26;25,91
U1248;34;25-36;UK;Spotify;Jazz;194;339;BTS;Free;Night;89,01;23,28
U1249;37;37-48;USA;Deezer;Metal;143;379;Drake;Free;Morning;55,02;59,23
U1250;16;13-24;South Korea;Apple Music;Country;229;380;Post Malone;Free;Night;68,64;72,16
U1251;42;37-48;Brazil;YouTube;Pop;35;115;Dua Lipa;Premium;Night;21,84;70,43
U1252;21;13-24;India;YouTube;Pop;557;232;Adele;Free;Night;79,16;41,87
U1253;42;37-48;Canada;Spotify;Reggae;465;154;Drake;Premium;Morning;11,36;63,59
U1254;16;13-24;South Korea;Deezer;EDM;233;295;Bad Bunny;Free;Morning;89,97;40,90
U1255;42;37-48;Germany;Deezer;Reggae;563;59;BTS;Premium;Morning;61,57;9,87
U1256;40;37-48;South Korea;Tidal;EDM;224;101;Post Malone;Free;Morning;60,44;43,18
U1257;24;13-24;USA;Spotify;EDM;223;46;The Weeknd;Premium;Morning;41,12;48,25
U1258;35;25-36;South Korea;Spotify;EDM;36;125;Post Malone;Free;Morning;69,27;28,79
U1259;18;13-24;USA;Amazon Music;Reggae;493;417;Bad Bunny;Premium;Afternoon;72,34;6,65
U1260;28;25-36;Germany;Amazon Music;R&B;588;162;Ed Sheeran;Free;Morning;32,53;63,37
U1261;41;37-48;Australia;Deezer;EDM;406;469;Taylor Swift;Free;Morning;67,94;41,21
U1262;44;37-48;South Korea;Tidal;Pop;597;5;Adele;Free;Afternoon;76,30;5,10
U1263;21;13-24;India;Spotify;Metal;54;268;Billie Eilish;Free;Night;51,99;65,41
U1264;22;13-24;Germany;YouTube;EDM;574;112;The Weeknd;Free;Afternoon;36,43;43,05
U1265;43;37-48;France;Apple Music;EDM;236;263;Dua Lipa;Premium;Morning;81,29;67,13
U1266;36;25-36;UK;Apple Music;Rock;279;99;Adele;Premium;Night;83,51;6,40
U1267;40;37-48;Australia;Apple Music;Rock;481;320;The Weeknd;Premium;Afternoon;69,67;71,07
U1268;25;25-36;USA;Apple Music;Jazz;219;203;Ed Sheeran;Premium;Morning;86,17;69,53
U1269;59;49-60;Brazil;Apple Music;Pop;600;179;Post Malone;Premium;Morning;20,79;50,24
U1270;48;37-48;Australia;Apple Music;EDM;77;123;Post Malone;Free;Afternoon;78,60;53,02
U1271;24;13-24;USA;Amazon Music;Jazz;255;188;Bad Bunny;Free;Afternoon;30,70;58,33
U1272;52;49-60;France;YouTube;EDM;490;234;The Weeknd;Free;Night;27,24;11,78
U1273;49;49-60;Brazil;Deezer;Pop;548;48;Post Malone;Free;Morning;87,59;44,40
